symbol,timeframe,bars,first,last,largest_gap_hours,invalid_ohlc,duplicates,file
SOLUSDT,15m,175187,2021-09-16T20:00:00+00:00,2026-09-15T19:45:00+00:00,2.25,0,0,SOLUSDT_15m.csv
SOLUSDT,4h,10950,2021-09-16T20:00:00+00:00,2026-09-15T16:00:00+00:00,4.0,0,0,SOLUSDT_4h.csv
SOLUSDT,1d,1825,2021-09-17T00:00:00+00:00,2026-09-15T00:00:00+00:00,24.0,0,0,SOLUSDT_1d.csv
BNBUSDT,5m,525560,2021-09-16T19:50:00+00:00,2026-09-15T19:45:00+00:00,2.08,0,0,BNBUSDT_5m.csv
BNBUSDT,15m,175187,2021-09-16T20:00:00+00:00,2026-09-15T19:45:00+00:00,2.25,0,0,BNBUSDT_15m.csv
BNBUSDT,1h,43797,2021-09-16T20:00:00+00:00,2026-09-15T19:00:00+00:00,3.0,0,0,BNBUSDT_1h.csv
BNBUSDT,4h,10950,2021-09-16T20:00:00+00:00,2026-09-15T16:00:00+00:00,4.0,0,0,BNBUSDT_4h.csv
BNBUSDT,1d,1825,2021-09-17T00:00:00+00:00,2026-09-15T00:00:00+00:00,24.0,0,0,BNBUSDT_1d.csv
XRPUSDT,5m,525560,2021-09-16T19:50:00+00:00,2026-09-15T19:45:00+00:00,2.08,0,0,XRPUSDT_5m.csv
XRPUSDT,15m,175187,2021-09-16T20:00:00+00:00,2026-09-15T19:45:00+00:00,2.25,0,0,XRPUSDT_15m.csv
XRPUSDT,1h,43797,2021-09-16T20:00:00+00:00,2026-09-15T19:00:00+00:00,3.0,0,0,XRPUSDT_1h.csv
XRPUSDT,4h,10950,2021-09-16T20:00:00+00:00,2026-09-15T16:00:00+00:00,4.0,0,0,XRPUSDT_4h.csv
XRPUSDT,1d,1825,2021-09-17T00:00:00+00:00,2026-09-15T00:00:00+00:00,24.0,0,0,XRPUSDT_1d.csv
